latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
40.8448,-73.8648,2014,5.069958848,70.1399177,243,41.12592593
40.8448,-73.8648,2015,5.196296296,70.06584362,243,41.35333333
40.8448,-73.8648,2016,7.999590164,70.82786885,244,46.3992623
40.8448,-73.8648,2017,7.24526749,70.88477366,243,45.04148148
40.8448,-73.8648,2018,6.84526749,69.91358025,243,44.32148148
40.8448,-73.8648,2019,6.63744856,70.18106996,243,43.94740741
40.8448,-73.8648,2020,7.163934426,70.1147541,244,44.89508197
40.8448,-73.8648,2021,7.186419753,69.81481481,243,44.93555556
40.8448,-73.8648,2022,7.564609053,69.60493827,243,45.6162963
40.8448,-73.8648,2023,8.116872428,69.34156379,243,46.61037037
40.8448,-73.8648,2024,7.964754098,70.64754098,244,46.33655738
40.8448,-73.8648,2025,7.484773663,65.51440329,243,45.47259259
40.8448,-73.8648,2026,3.195483871,67.4,155,37.75187097
40.943554,-72.6922184,2010,7.462962963,71.89711934,243,45.43333333
40.943554,-72.6922184,2011,6.565843621,71.781893,243,43.81851852
40.943554,-72.6922184,2012,9.203688525,71.17622951,244,48.56663934
40.943554,-72.6922184,2013,7.173251029,72.34979424,243,44.91185185
40.943554,-72.6922184,2014,6.030452675,70.36625514,243,42.85481481
40.943554,-72.6922184,2015,5.888477366,71.56378601,243,42.59925926
40.943554,-72.6922184,2016,8.388934426,71.84016393,244,47.10008197
40.943554,-72.6922184,2017,7.76872428,71.0617284,243,45.9837037
40.943554,-72.6922184,2018,7.195061728,71.35802469,243,44.95111111
40.943554,-72.6922184,2019,6.867078189,71,243,44.36074074
40.943554,-72.6922184,2020,7.429098361,70.90983607,244,45.37237705
40.943554,-72.6922184,2021,7.607407407,70.73662551,243,45.69333333
40.943554,-72.6922184,2022,7.935802469,70.83127572,243,46.28444444
40.943554,-72.6922184,2023,8.498353909,70.97942387,243,47.29703704
40.943554,-72.6922184,2024,8.118852459,72.25,244,46.61393443
40.943554,-72.6922184,2025,7.694238683,66.9382716,243,45.84962963
40.943554,-72.6922184,2026,3.827096774,69.45806452,155,38.88877419
41.1527698,-73.745912,2010,5.88600823,70.83127572,243,42.59481481
41.1527698,-73.745912,2011,4.667901235,71.57201646,243,40.40222222
41.1527698,-73.745912,2012,7.456147541,70.8852459,244,45.42106557
41.1527698,-73.745912,2013,5.167901235,72.27572016,243,41.30222222
41.1527698,-73.745912,2014,3.867901235,69.90534979,243,38.96222222
41.1527698,-73.745912,2015,3.969547325,69.88888889,243,39.14518519
41.1527698,-73.745912,2016,6.818852459,70.39344262,244,44.27393443
41.1527698,-73.745912,2017,6.258847737,71.38683128,243,43.26592593
41.1527698,-73.745912,2018,5.888888889,71.02057613,243,42.6
41.1527698,-73.745912,2019,5.646502058,71.17283951,243,42.1637037
41.1527698,-73.745912,2020,6.238114754,70.66803279,244,43.22860656
